# Format: question;reponse;niveau
# reponse: 1 = OUI, 0 = NON

J. Robert Oppenheimer est-il le personnage principal du film Oppenheimer?;1;1
Le projet Manhattan est-il au coeur du film Oppenheimer?;1;2
Le laboratoire principal se trouve-t-il a Los Alamos?;1;3
Le premier essai atomique Trinity a-t-il eu lieu en 1945?;1;4
Le premier essai atomique s'appelle-t-il Trinity?;1;5
Oppenheimer a-t-il prononce "Je suis devenu la mort"?;1;6
Little Boy est-elle la bombe larguee sur Hiroshima?;1;7
Le general Leslie Groves etait-il le directeur militaire du projet Manhattan?;1;8
Cillian Murphy joue-t-il Oppenheimer dans le film de 2023?;1;9
Christopher Nolan a-t-il realise Oppenheimer?;1;10
Kitty Oppenheimer est-elle la femme d'Oppenheimer?;1;11
Harry Truman a-t-il decide d'utiliser la bombe atomique?;1;12
Oppenheimer etait-il americain?;1;13
Oppenheimer est-il surnomme "Le pere de la bombe atomique"?;1;14
Edward Teller a-t-il developpe la bombe H?;1;15
Albert Einstein est-il le personnage principal du film Oppenheimer?;0;1
Le projet Apollo est-il au coeur du film Oppenheimer?;0;2
Le laboratoire principal se trouve-t-il a Oak Ridge?;0;3
Le premier essai atomique Trinity a-t-il eu lieu en 1944?;0;4
Fat Man est-elle la bombe larguee sur Hiroshima?;0;5
Oppenheimer a-t-il prononce "E = mc²"?;0;6
Fat Man est-elle la premiere bombe larguee sur Hiroshima?;0;7
Le general Eisenhower etait-il le directeur militaire du projet Manhattan?;0;8
Robert Downey Jr joue-t-il Oppenheimer dans le film de 2023?;0;9
Martin Scorsese a-t-il realise Oppenheimer?;0;10
Jean Tatlock est-elle la femme d'Oppenheimer?;0;11
Franklin Roosevelt a-t-il decide d'utiliser la bombe atomique?;0;12
Oppenheimer etait-il allemand?;0;13
Oppenheimer est-il surnomme "Le genie de Princeton"?;0;14
Enrico Fermi a-t-il developpe la bombe H?;0;15
